time,flux,flux_err,bge,quality,bgv,fdv,fkv,fsv,ife1,ife2,ife3,ifl1,ifl2,ifl3,ire1,ire2,ire3,irm1,irm2,irm3,irq1,irq2,irq3,rstfc,tmid_utc,xic,yic,ccdtemp,ntemps,bjdcorr,tfa1,tfa2,tfa3,pca1,pca2,pca3
2459088.3959939308,7.88194,nan,0.33,G,0.04,0.0555826994,-0.00667032589,1.10308051,65.75,80.51,88.69,22561.91,33827.88,41053.72,0.00316,0.00258,0.00235,7.88194,7.44219,7.232,G,G,G,tess2020239211914-s0029-2-2-0193_cal_img_bkgdsub,2459088.3918304,1238.19149,535.661699,-80.151495,7.0,0.003362805247611807,7.883356208392589,7.440688839584512,7.231652077312993,7.882800107750368,7.4406365400223,7.231444327046871
2459088.402938605,7.88284,nan,0.3,G,0.07,0.0531605078,-0.00519870429,1.10902479,65.72,80.48,88.69,22543.17,33810.14,41053.66,0.00317,0.00258,0.00235,7.88284,7.44276,7.232,G,G,G,tess2020239212914-s0029-2-2-0193_cal_img_bkgdsub,2459088.3987749,1238.19261,535.66359,-80.15093888888889,9.0,0.0033629791075228707,7.885074222792708,7.441198796431105,7.2306699776562215,7.883685910340018,7.441194315189241,7.2314165049422865
2459088.4098831783,7.88257,nan,0.3,G,0.1,0.0518277124,-0.00544321635,1.10493145,65.73,80.49,88.68,22548.78,33810.97,41040.23,0.00316,0.00258,0.00235,7.88257,7.44273,7.23235,G,G,G,tess2020239213914-s0029-2-2-0193_cal_img_bkgdsub,2459088.4057193,1238.19078,535.660627,-80.15129277777777,9.0,0.0033631529180393584,7.882971789918054,7.440630488698482,7.231620211133133,7.883400761205435,7.441152724781398,7.231739071394806
2459088.4168278524,7.88262,nan,0.31,G,-0.04,0.0536271117,-0.00355503359,1.10827295,65.73,80.5,88.7,22547.74,33821.21,41057.73,0.00316,0.00258,0.00235,7.88262,7.44241,7.23189,G,G,G,tess2020239214914-s0029-2-2-0193_cal_img_bkgdsub,2459088.4126638,1238.19295,535.662766,-80.1509035,10.0,0.0033633266841825685,7.8837229218809215,7.440843895725122,7.231004849018919,7.883507060836205,7.4409147309895625,7.231407520855449
2459088.423772426,7.88161,nan,0.35,G,-0.1,0.0568620152,-0.00683973209,1.10441055,65.76,80.53,88.72,22568.82,33845.8,41081.91,0.00316,0.00258,0.00234,7.88161,7.44162,7.23125,G,G,G,tess2020239215914-s0029-2-2-0193_cal_img_bkgdsub,2459088.4196082,1238.19282,535.662334,-80.15138125,8.0,0.003363500400916707,7.883906344167221,7.440309270095718,7.230624177063253,7.8825226321175474,7.440161171824916,7.230825580960513
2459088.430717,7.88192,nan,0.33,G,0.03,0.0536834936,-0.00503330765,1.10789987,65.75,80.53,88.73,22562.37,33844.01,41089.8,0.00316,0.00258,0.00234,7.88192,7.44167,7.23104,G,G,G,tess2020239220914-s0029-2-2-0193_cal_img_bkgdsub,2459088.4265526,1238.19322,535.661821,-80.15660111111113,9.0,0.0033636740707685617,7.884664504370385,7.440094440199399,7.230928777487973,7.882778408339765,7.440144301519668,7.230500465986442
2459088.4376616734,7.88184,nan,0.3,G,-0.02,0.0522752222,-0.00449409067,1.10859534,65.75,80.51,88.71,22563.94,33831.48,41072.04,0.00316,0.00258,0.00235,7.88184,7.44208,7.23151,G,G,G,tess2020239221914-s0029-2-2-0193_cal_img_bkgdsub,2459088.4334971,1238.19404,535.662429,-80.15377,9.0,0.003363847696215543,7.883573050412587,7.439719489829512,7.231272615621808,7.8827173365398355,7.440587331449518,7.231016133544032
2459088.444606247,7.88215,nan,0.29,G,0.11,0.0511737969,-0.00477334478,1.10938113,65.74,80.49,88.67,22557.42,33812.89,41035.85,0.00316,0.00258,0.00235,7.88215,7.44267,7.23247,G,G,G,tess2020239222914-s0029-2-2-0193_cal_img_bkgdsub,2459088.4404415,1238.19264,535.660236,-80.15138125,8.0,0.0033640212722609577,7.88430118461943,7.440535134756209,7.231654045577319,7.88297038882971,7.441109172040368,7.231860930717498
2459088.45155092,7.88269,nan,0.36,G,0.04,0.0517556399,-0.00467126851,1.10872898,65.72,80.49,88.69,22546.36,33816.34,41051.47,0.00316,0.00258,0.00235,7.88269,7.44256,7.23206,G,G,G,tess2020239223914-s0029-2-2-0193_cal_img_bkgdsub,2459088.447386,1238.19376,535.666021,-80.154168125,8.0,0.0033641948039076644,7.883739825181445,7.441570100284265,7.230910302847725,7.8835399922154235,7.441042564768477,7.2315105944446545
2459088.458495494,7.88244,nan,0.28,G,-0.08,0.0515712926,-0.00482686246,1.10967144,65.73,80.5,88.7,22551.57,33823.3,41066.53,0.00316,0.00258,0.00235,7.88244,7.44234,7.23166,G,G,G,tess2020239224914-s0029-2-2-0193_cal_img_bkgdsub,2459088.4543304,1238.19253,535.661899,-80.15837055555555,9.0,0.003364368286161646,7.884023962191967,7.441384113023102,7.230659254257612,7.883339990773197,7.440895155103912,7.231220342354234
2459088.465440167,7.88205,nan,0.29,G,-0.02,0.0517821038,-0.00457313483,1.10904118,65.74,80.52,88.71,22559.51,33841.14,41072.82,0.00316,0.00258,0.00235,7.88205,7.44177,7.23149,G,G,G,tess2020239225914-s0029-2-2-0193_cal_img_bkgdsub,2459088.4612749,1238.19354,535.665956,-80.1553625,10.0,0.0033645417239997906,7.883624913533385,7.440580781988972,7.231004179190471,7.882926325496918,7.440294104511224,7.230998502716159
2459088.4723847406,7.88175,nan,0.36,G,0.02,0.0513121364,-0.00467356154,1.11069144,65.75,80.52,88.72,22565.8,33841.05,41081.02,0.00316,0.00258,0.00234,7.88175,7.44177,7.23127,G,G,G,tess2020239230914-s0029-2-2-0193_cal_img_bkgdsub,2459088.4682193,1238.19416,535.660982,-80.157865,7.0,0.0033647151124307907,7.882913253684609,7.440699154449,7.231063505871239,7.882609201236058,7.440276117077529,7.23074322620661
2459088.479329314,7.88158,nan,0.36,G,-0.04,0.0526254457,-0.00415985054,1.11019183,65.76,80.54,88.74,22569.4,33854.14,41093.87,0.00316,0.00258,0.00234,7.88158,7.44135,7.23094,G,G,G,tess2020239231914-s0029-2-2-0193_cal_img_bkgdsub,2459088.4751637,1238.19415,535.663232,-80.1575340909091,11.0,0.00336488845396501,7.883115085267576,7.440686230337309,7.230966138394463,7.882462641858404,7.43989383432769,7.230467925959491
2459088.486273987,7.8822,nan,0.35,G,-0.02,0.0500342514,-0.0049269075,1.10952333,65.74,80.51,88.71,22556.46,33832.18,41067.23,0.00316,0.00258,0.00235,7.8822,7.44205,7.23164,G,G,G,tess2020239232914-s0029-2-2-0193_cal_img_bkgdsub,2459088.4821082,1238.19535,535.664882,-80.15978611111113,9.0,0.00336506175107512,7.8845389197139495,7.44154866613954,7.232361259007055,7.883072940942353,7.440586382159852,7.23115140380469
